137,Bielsko-Biała,17-03-16,8839740.80
138,Nowa Sól,05-04-12,8806516.50
139,Warszawa,21-02-09,8719878.70
140,Elbląg,12-03-09,8646933.10
141,Strzelce Opolskie,18-09-04,8642407.10
142,Oświęcim,18-09-04,8642407.10
143,Marklowice,02-10-07,8603763.60
144,Wołów,10-09-09,8596401.00
145,Poznań,10-09-09,8596401.00
146,Warszawa,16-11-02,8565075.60
147,Gliwice,26-09-13,8495547.70
148,Starogard Gdański,05-01-13,8419169.10
149,Przeźmierowo,08-09-16,8323101.80
150,Kołobrzeg,23-05-17,8303153.00
151,Białystok,11-05-02,8260359.30
152,Wrocław,05-11-15,8236118.50
153,Pieniężno,21-05-09,8170353.60
154,Mikołów,02-03-13,8163475.90
155,Wrocław,11-10-11,8115459.40
156,Białystok,06-11-08,8093234.30
157,Zabrze,06-11-08,8093234.30
158,Kamienica Polska,06-11-08,8093234.30
159,Szczecin,06-11-08,8093234.30
160,Gdańsk,06-11-08,8093234.30
161,Łódź,25-10-00,7972493.70
162,Sulechów,25-10-00,7972493.70
163,Świdwin,16-04-11,7963386.20
164,Pleszew,15-11-12,7940971.40
165,Zduńska Wola,30-05-09,7913910.30
166,Świętochłowice,25-12-10,7887467.60
167,Olsztyn,25-12-10,7887467.60
168,Pszczew,23-05-07,7743597.30
169,Kościan,08-10-09,7715881.40
170,Rzeszów,29-10-11,7699294.20
171,Stalowa Wola,24-04-12,7697861.10
172,Chodzież,08-05-14,7681801.30
173,Mierzęcice,23-09-00,7680094.00
174,Pruszków,25-04-07,7671654.60
175,Gdynia,02-10-12,7661336.00
176,Częstochowa,12-01-17,7652865.00
177,Żerków,20-10-11,7646768.40
178,Gorzów Wielkopolski,17-01-15,7583398.30
179,Nysa,17-01-15,7583398.30
180,Gdynia,17-01-15,7583398.30
181,Łódź,14-05-03,7575498.30
182,Bystra Podhalańska,07-10-17,7552854.90
183,Pińczów,15-10-09,7548771.70
184,Gdańsk,06-10-01,7540425.10
185,Karczew,01-06-10,7511814.50
186,Warszawa,04-03-14,7354775.80
187,Michałowo,04-07-07,7311274.80
188,Poznań,11-06-13,7309644.20
189,Swadzim,11-06-13,7309644.20
190,Wrocław,23-06-09,7277097.40
191,Kołobrzeg,15-12-12,7275908.00
192,Warszawa,19-02-11,7268192.70
193,Lipinki,19-02-11,7268192.70
194,Szczytno,19-02-11,7268192.70
195,Jelenia Góra,19-02-11,7268192.70
196,Grotniki,07-05-11,7241577.40
197,Pielgrzymowice,31-05-14,7167637.70
198,Swarzędz,31-05-14,7167637.70
199,Białystok,06-05-08,7166039.80
200,Kielce,06-05-08,7166039.80
201,Ińsko,24-12-05,7165660.80
202,Pułtusk,04-02-10,7163765.20
203,Bychawa,20-03-04,7138079.70
204,Legnica,10-04-04,7107933.30
205,Wałbrzych,15-01-13,7097391.00
206,Turek,28-07-09,7024944.90
207,Pajęczno,19-11-11,7019500.10
208,Słupsk,14-08-14,7009272.80
209,Katowice,09-03-05,7008188.50
210,Rajsko,03-03-15,7001435.20
211,Lublin,05-12-09,7000000.00
212,Koluszki,03-12-11,6924252.00
213,Gliwice,03-12-11,6924252.00
214,Wałbrzych,19-10-10,6889667.80
215,Lublin,10-03-04,6853258.00
216,Krzeszowice,28-08-10,6841685.30
217,Wola Batorska,28-08-10,6841685.30
218,Chojnice,12-10-13,6798359.30
219,Przeworsk,23-02-05,6759462.20
220,Zduńska Wola,23-02-05,6759462.20
221,Rawa Mazowiecka,22-11-00,6749002.20
222,Kraków,22-11-00,6749002.20
223,Gdynia,01-04-17,6710082.80
224,Police,21-06-11,6698919.50
225,Reda,31-12-09,6534667.40
226,Biłgoraj,31-12-09,6534667.40
227,Żywiec,14-12-05,6482092.50
228,Warszawa,22-07-10,6438001.20
229,Nowy Targ ,20-06-13,6425485.60
230,Płock,21-07-16,6415292.30
231,Kraków,30-12-00,6363614.20
232,Śrem,31-12-13,6307291.10
233,Siemianowice Śląskie,13-05-06,6269987.40
234,Sędziszów Małopolski,13-05-06,6269987.40
235,Warszawa,18-01-03,6260119.90
236,Gniezno,12-06-14,6253123.30
237,Kielce,02-02-05,6231262.60
238,Golczewo,14-10-06,6228171.10
239,Katowice,05-08-17,6217144.50
240,Szczecin,05-08-17,6217144.50
241,Oświęcim,17-03-07,6191705.90
